Category,ItemName,Description,ItemPrice,OptionName,Options,OptionPrice
Popular Items,Gyro Pita,"Lettuce, tomato, onion, tzatziki.",$13.65,Would you prefer a different side instead of our hand cut fries?,Substitute Rice,
Popular Items,Gyro Pita,"Lettuce, tomato, onion, tzatziki.",$13.65,Would you prefer a different side instead of our hand cut fries?,Substitute Hummus,
Popular Items,Gyro Pita,"Lettuce, tomato, onion, tzatziki.",$13.65,Would you prefer a different side instead of our hand cut fries?,Substitute Side Tossed Salad , $3.25
Popular Items,Gyro Pita,"Lettuce, tomato, onion, tzatziki.",$13.65,Would you prefer a different side instead of our hand cut fries?,Substitute Tomato and Cucumber Salad , $2.60
Popular Items,Gyro Pita,"Lettuce, tomato, onion, tzatziki.",$13.65,Would you prefer a different side instead of our hand cut fries?,Substitute Greek Feta Fries , $1.95
Popular Items,Gyro Pita,"Lettuce, tomato, onion, tzatziki.",$13.65,Would you prefer a different side instead of our hand cut fries?,Substitute Side Greek Salad , $4.55
Popular Items,Gyro Pita,"Lettuce, tomato, onion, tzatziki.",$13.65,Would you prefer a different side instead of our hand cut fries?,Substitute Grape Leaves , $3.90
Popular Items,Grilled Chicken Pita,"Lettuce, tomato, tzatziki.",$13.65,Would you prefer a different side instead of our hand cut fries?,Substitute Rice,
Popular Items,Grilled Chicken Pita,"Lettuce, tomato, tzatziki.",$13.65,Would you prefer a different side instead of our hand cut fries?,Substitute Hummus,
Popular Items,Grilled Chicken Pita,"Lettuce, tomato, tzatziki.",$13.65,Would you prefer a different side instead of our hand cut fries?,Substitute Side Tossed Salad , $3.25
Popular Items,Grilled Chicken Pita,"Lettuce, tomato, tzatziki.",$13.65,Would you prefer a different side instead of our hand cut fries?,Substitute Tomato and Cucumber Salad , $2.60
Popular Items,Grilled Chicken Pita,"Lettuce, tomato, tzatziki.",$13.65,Would you prefer a different side instead of our hand cut fries?,Substitute Greek Feta Fries , $1.95
Popular Items,Grilled Chicken Pita,"Lettuce, tomato, tzatziki.",$13.65,Would you prefer a different side instead of our hand cut fries?,Substitute Side Greek Salad , $4.55
Popular Items,Grilled Chicken Pita,"Lettuce, tomato, tzatziki.",$13.65,Would you prefer a different side instead of our hand cut fries?,Substitute Grape Leaves , $3.90
Popular Items,Mad Greek Salad,"Lettuce, tomatoes, onions, cucumbers, feta, green peppers, olives, pepperoncini peppers.",$11.25,Would you like to add any add-ons or have any extra of anything?,Add Gyro on Salad , $5.30
